userId,role,interests,registrationDate,location,activityScore,influenceScore,postCount,interactionCount,followerCount,followingCount,lastActiveDate
user_001,information-seeker,"learning and educational,food and dining",2021-01-18,石家庄,51,29,20,365,268,469,2024-01-02
user_002,information-seeker,"entertainment",2020-08-14,南昌,47,35,59,428,726,332,2023-12-05
user_003,general,"sports",2020-04-06,杭州,46,38,101,1133,1469,242,2024-01-01
user_004,information-source,"politics",2020-05-31,北京,94,85,115,1617,9353,178,2024-01-02
user_005,inactive,"business and finance",2021-11-28,上海,10,20,19,19,37,38,2023-12-20
user_006,information-seeker,"entertainment",2020-09-07,大连,59,24,78,715,938,348,2023-11-16
user_007,information-seeker,"learning and educational,food and dining,sports",2020-04-29,合肥,37,39,66,753,248,421,2024-01-01
user_008,information-seeker,"entertainment,business and finance",2022-08-18,重庆,59,19,35,357,241,221,2023-11-09
user_009,general,"science and technology,travel,animals",2022-05-03,济南,52,59,141,652,1197,109,2023-12-10
user_010,general,"animals,arts and culture",2020-02-12,宁波,41,61,99,846,1563,164,2023-12-01
user_011,inactive,"travel,fitness and health",2023-06-09,武汉,9,7,3,60,157,14,2023-12-17
user_012,information-seeker,"travel",2022-08-09,沈阳,33,44,41,228,351,365,2023-12-09
user_013,inactive,"fashion and beauty",2020-03-28,广州,12,7,5,71,133,47,2023-12-23
user_014,information-seeker,"business and finance,fitness and health",2021-02-16,北京,33,35,25,212,919,406,2024-01-17
user_015,inactive,"food and dining,fashion and beauty",2020-11-09,深圳,12,4,14,91,190,35,2023-11-30
user_016,general,"politics,entertainment",2020-03-14,深圳,44,45,135,563,1398,287,2024-01-08
user_017,general,"fitness and health,animals",2021-12-24,沈阳,74,47,106,1394,652,234,2023-12-02
user_018,information-source,"travel,animals,arts and culture",2020-02-13,佛山,80,89,140,1723,3961,208,2023-12-26
user_019,general,"science and technology",2023-02-19,重庆,64,49,50,935,1783,198,2023-12-24
user_020,general,"entertainment",2021-04-13,合肥,68,35,78,1269,927,121,2023-11-29
user_021,general,"entertainment",2020-02-20,哈尔滨,58,34,133,936,1028,273,2023-12-11
user_022,information-seeker,"entertainment,animals,fashion and beauty",2022-01-06,大连,56,17,57,603,618,322,2023-11-16
user_023,inactive,"travel,fitness and health",2021-03-15,太原,21,13,17,20,182,83,2023-11-19
user_024,information-source,"entertainment,animals,fashion and beauty",2021-11-16,苏州,72,90,493,4315,3725,62,2023-11-30
user_025,information-source,"animals,science and technology",2023-07-23,石家庄,77,70,206,4148,6805,203,2023-11-29
user_026,information-seeker,"learning and educational",2020-02-27,合肥,29,18,19,219,322,297,2023-12-06
user_027,information-seeker,"politics,animals",2020-10-20,福州,39,31,69,241,436,392,2023-12-06
user_028,inactive,"animals,fashion and beauty,politics",2021-03-06,长春,11,12,1,37,136,10,2023-11-13
user_029,inactive,"food and dining,fashion and beauty",2020-11-28,南昌,8,7,15,90,135,17,2023-11-29
user_030,information-seeker,"business and finance,animals,sports",2020-10-17,宁波,39,45,18,606,473,494,2024-01-01
user_031,information-source,"fashion and beauty,learning and educational,business and finance",2020-05-22,合肥,72,87,429,2022,7227,242,2023-12-22
user_032,inactive,"sports,learning and educational,travel",2020-11-10,深圳,11,14,6,60,16,88,2023-12-27
user_033,inactive,"animals",2020-10-16,太原,21,14,10,2,49,21,2023-11-02
user_034,inactive,"animals,entertainment,food and dining",2020-03-30,长春,25,16,14,72,161,71,2023-12-13
user_035,general,"food and dining,science and technology,business and finance",2023-07-08,无锡,48,64,112,585,1991,226,2023-11-11
user_036,general,"fashion and beauty,entertainment",2022-02-17,南京,61,65,137,806,2337,207,2024-01-11
user_037,inactive,"travel,science and technology",2023-04-07,南京,19,11,14,14,189,49,2023-12-25
user_038,general,"sports,animals,entertainment",2023-12-18,哈尔滨,52,32,84,786,2964,292,2023-11-23
user_039,information-source,"animals",2022-04-26,郑州,91,85,193,2720,2404,180,2024-01-13
user_040,information-seeker,"fashion and beauty,entertainment,food and dining",2021-11-28,长沙,42,16,18,445,664,562,2023-11-22
user_041,general,"fitness and health,arts and culture,food and dining",2022-01-10,成都,58,58,73,714,985,214,2023-11-06
user_042,inactive,"science and technology",2020-05-13,青岛,20,14,6,87,33,30,2023-12-19
user_043,general,"animals,science and technology,learning and educational",2022-02-19,佛山,51,65,92,1282,2717,104,2023-12-05
user_044,information-source,"food and dining,business and finance,animals",2020-10-18,南京,89,81,285,4382,5577,71,2023-12-08
user_045,information-source,"learning and educational,business and finance",2022-10-20,济南,78,94,455,2826,8673,218,2023-11-12
user_046,information-source,"business and finance",2022-11-01,广州,94,72,116,1958,7207,169,2024-01-02
user_047,information-source,"animals",2022-11-22,长沙,88,74,375,2068,6788,213,2023-12-22
user_048,inactive,"animals,learning and educational",2022-01-27,北京,19,20,6,17,127,98,2024-01-07
user_049,information-source,"learning and educational,entertainment,politics",2021-05-15,武汉,95,90,155,3872,7354,196,2023-11-03
user_050,information-seeker,"learning and educational,politics",2021-10-19,昆明,25,45,44,637,201,268,2023-11-26
user_051,information-source,"travel,learning and educational",2023-02-09,石家庄,94,73,260,2033,3334,209,2023-11-12
user_052,information-seeker,"science and technology",2021-05-29,南昌,59,15,35,718,605,210,2023-12-27
user_053,general,"animals,fashion and beauty,arts and culture",2020-09-13,大连,53,43,67,1396,901,294,2023-12-25
user_054,information-source,"sports,arts and culture",2023-01-19,成都,85,75,354,1685,5039,120,2023-11-22
user_055,general,"learning and educational",2022-03-11,佛山,54,37,119,714,2203,265,2023-11-24
user_056,information-seeker,"food and dining",2023-03-25,无锡,57,31,10,131,543,346,2023-11-12
user_057,general,"food and dining",2020-02-12,大连,49,52,73,690,1300,234,2024-01-11
user_058,general,"animals",2021-04-16,上海,74,63,149,1375,2609,231,2024-01-05
user_059,information-source,"sports,fashion and beauty,animals",2020-03-27,长沙,66,62,205,4851,4068,176,2024-01-17
user_060,general,"learning and educational,food and dining,sports",2020-01-01,郑州,63,58,137,502,2615,211,2023-11-07
user_061,information-seeker,"animals",2022-03-14,南京,45,24,43,674,537,495,2024-01-07
user_062,information-source,"business and finance",2022-09-11,厦门,86,86,231,3014,3396,237,2023-11-27
user_063,information-source,"fitness and health,food and dining,animals",2020-12-17,福州,71,73,385,3707,4311,156,2023-11-04
user_064,general,"learning and educational",2022-07-05,天津,53,48,83,1105,2452,130,2024-01-04
user_065,information-seeker,"animals",2023-10-07,福州,52,24,40,117,897,431,2024-01-14
user_066,information-seeker,"entertainment,learning and educational,sports",2023-05-13,深圳,37,34,55,342,1000,505,2024-01-09
user_067,general,"science and technology,fashion and beauty,entertainment",2021-01-22,南昌,66,54,148,803,2594,275,2023-12-05
user_068,general,"entertainment,food and dining",2021-02-22,厦门,50,53,57,1311,2412,103,2024-01-15
user_069,general,"food and dining,entertainment",2021-01-05,天津,72,51,75,677,1726,187,2023-11-05
user_070,general,"animals,arts and culture",2021-01-02,武汉,74,50,115,1447,2217,193,2023-12-30
user_071,general,"sports,learning and educational",2023-01-06,佛山,60,51,120,1170,2110,212,2023-11-16
user_072,information-seeker,"animals,fitness and health,sports",2022-03-16,合肥,55,44,39,594,151,237,2024-01-04
user_073,inactive,"travel",2022-01-01,南昌,25,10,1,65,86,18,2023-11-12
user_074,information-seeker,"travel,food and dining",2022-10-18,青岛,31,26,74,644,590,348,2023-12-07
user_075,general,"animals,learning and educational",2022-08-02,郑州,61,43,130,638,2085,128,2023-12-12
user_076,general,"business and finance,fashion and beauty,politics",2022-12-19,沈阳,48,34,144,1078,1463,134,2023-12-30
user_077,information-seeker,"sports",2023-05-12,深圳,35,40,30,574,507,365,2023-12-29
user_078,inactive,"fitness and health,fashion and beauty",2023-11-02,无锡,24,4,2,84,177,40,2024-01-13
user_079,general,"fashion and beauty,sports,politics",2020-09-22,郑州,69,62,123,1130,1311,288,2023-12-13
user_080,general,"travel",2022-10-07,昆明,43,45,97,1325,2417,235,2023-12-24
user_081,information-source,"business and finance,arts and culture,animals",2022-09-20,天津,67,60,267,1971,6530,184,2023-11-20
user_082,inactive,"arts and culture,entertainment,fitness and health",2020-03-13,宁波,8,10,16,55,94,75,2024-01-10
user_083,inactive,"learning and educational,fitness and health",2022-10-01,宁波,22,15,14,38,42,51,2024-01-14
user_084,general,"arts and culture",2020-06-11,苏州,69,48,50,1176,1208,191,2024-01-10
user_085,general,"food and dining,sports",2020-12-06,厦门,64,40,95,1476,2681,145,2024-01-16
user_086,information-seeker,"food and dining",2023-08-31,深圳,49,37,77,109,104,531,2023-11-18
user_087,inactive,"travel",2020-12-29,沈阳,11,8,11,52,58,60,2023-11-17
user_088,information-source,"animals",2020-06-07,杭州,65,69,315,2395,8400,215,2023-12-19
user_089,general,"entertainment,politics",2022-05-09,昆明,67,58,59,577,2582,166,2023-11-22
user_090,inactive,"learning and educational,arts and culture,entertainment",2022-05-05,厦门,23,12,8,28,13,95,2023-12-07
user_091,inactive,"arts and culture,travel",2022-12-14,深圳,14,13,11,28,94,62,2023-12-08
user_092,inactive,"animals,entertainment,food and dining",2020-09-01,昆明,21,14,9,11,122,21,2024-01-17
user_093,inactive,"animals,learning and educational",2021-09-11,西安,21,13,7,60,139,83,2023-12-28
user_094,information-seeker,"travel,arts and culture",2020-03-31,石家庄,48,42,19,795,307,503,2023-11-22
user_095,information-seeker,"arts and culture,entertainment,food and dining",2022-06-24,北京,43,28,11,294,364,362,2023-12-21
user_096,information-source,"learning and educational,business and finance",2023-11-03,福州,95,77,177,2224,3586,91,2024-01-09
user_097,information-source,"animals,learning and educational,politics",2023-07-01,昆明,85,71,291,1763,7621,219,2024-01-17
user_098,inactive,"sports,animals",2022-01-01,福州,10,14,16,79,41,32,2023-11-16
user_099,information-seeker,"entertainment,fitness and health,travel",2021-08-22,长春,38,34,38,430,725,577,2024-01-10
user_100,inactive,"business and finance,science and technology,sports",2023-06-11,重庆,19,15,4,69,172,40,2023-12-24
user_101,information-source,"animals,arts and culture",2020-09-02,福州,77,68,211,1928,4407,193,2024-01-13
user_102,general,"food and dining,politics",2022-04-03,合肥,64,57,142,664,2262,227,2023-11-03
user_103,information-source,"fashion and beauty,arts and culture",2022-08-17,深圳,74,71,453,3637,9529,173,2023-12-22
user_104,information-source,"business and finance,arts and culture",2020-04-17,上海,85,62,384,1179,3028,190,2024-01-15
user_105,inactive,"fitness and health,fashion and beauty",2022-01-16,北京,12,4,15,57,114,91,2023-12-31
user_106,information-source,"food and dining,animals",2020-08-31,苏州,88,63,224,1675,3737,234,2023-12-12
user_107,information-seeker,"fashion and beauty,entertainment,fitness and health",2020-03-02,南昌,29,34,58,326,733,386,2023-12-04
