timestamp,activeUserCount,newUserCount,postCount,interactionCount,avgActivityScore,avgInfluenceScore
2024-01-14T16:00:00.000Z,50,15,122,999,11.5,27.3
2024-01-14T17:00:00.000Z,50,3,161,1353,10.0,26.9
2024-01-14T18:00:00.000Z,50,5,104,769,10.0,29.0
2024-01-14T19:00:00.000Z,50,11,249,2440,22.2,8.9
2024-01-14T20:00:00.000Z,50,2,129,658,25.8,6.6
2024-01-14T21:00:00.000Z,50,6,158,1001,14.4,11.7
2024-01-14T22:00:00.000Z,52,9,160,719,10.0,8.4
2024-01-14T23:00:00.000Z,109,9,452,2025,38.5,40.4
2024-01-15T00:00:00.000Z,206,12,533,1797,61.9,42.0
2024-01-15T01:00:00.000Z,219,9,1022,4809,63.0,45.1
2024-01-15T02:00:00.000Z,279,6,561,3252,67.1,43.8
2024-01-15T03:00:00.000Z,81,10,356,1589,30.6,31.6
2024-01-15T04:00:00.000Z,193,15,616,2826,47.9,51.5
2024-01-15T05:00:00.000Z,154,7,384,1933,52.6,43.8
2024-01-15T06:00:00.000Z,158,14,366,1401,59.4,42.1
2024-01-15T07:00:00.000Z,81,9,364,2652,36.1,40.5
2024-01-15T08:00:00.000Z,122,7,433,3897,34.4,17.9
2024-01-15T09:00:00.000Z,100,5,498,2482,20.5,22.6
2024-01-15T10:00:00.000Z,327,9,1568,10793,61.3,74.3
2024-01-15T11:00:00.000Z,314,3,1509,14810,78.5,55.6
2024-01-15T12:00:00.000Z,262,7,972,6856,74.0,60.6
2024-01-15T13:00:00.000Z,268,12,1081,5697,65.6,69.5
2024-01-15T14:00:00.000Z,272,2,1086,7969,74.7,55.8
2024-01-15T15:00:00.000Z,120,4,377,1449,21.3,27.8
2024-01-15T16:00:00.000Z,50,11,105,977,11.6,26.9
2024-01-15T17:00:00.000Z,50,6,153,1453,10.3,21.4
2024-01-15T18:00:00.000Z,50,3,196,1108,19.4,28.1
2024-01-15T19:00:00.000Z,52,6,177,1594,25.9,24.1
2024-01-15T20:00:00.000Z,50,9,136,1183,20.1,10.2
2024-01-15T21:00:00.000Z,50,4,103,877,17.9,6.4
2024-01-15T22:00:00.000Z,50,14,125,881,12.6,12.3
2024-01-15T23:00:00.000Z,119,5,350,1965,29.6,17.9
2024-01-16T00:00:00.000Z,290,11,791,4898,62.0,42.3
2024-01-16T01:00:00.000Z,298,11,621,3405,64.0,58.9
2024-01-16T02:00:00.000Z,228,4,981,4701,51.6,43.4
2024-01-16T03:00:00.000Z,149,2,482,4734,27.2,28.6
2024-01-16T04:00:00.000Z,223,15,1071,3307,52.3,42.8
2024-01-16T05:00:00.000Z,170,6,470,2667,54.9,36.5
2024-01-16T06:00:00.000Z,206,10,693,5761,51.7,57.3
2024-01-16T07:00:00.000Z,138,7,423,1432,33.4,26.0
2024-01-16T08:00:00.000Z,117,10,340,3210,28.7,41.3
2024-01-16T09:00:00.000Z,138,14,510,2479,37.5,22.9
2024-01-16T10:00:00.000Z,311,12,1317,7733,69.4,65.2
2024-01-16T11:00:00.000Z,319,7,836,3203,78.4,53.1
2024-01-16T12:00:00.000Z,333,14,1411,7494,67.6,53.8
2024-01-16T13:00:00.000Z,288,12,1215,12129,76.8,69.0
2024-01-16T14:00:00.000Z,318,11,708,6400,80.0,51.1
2024-01-16T15:00:00.000Z,107,5,490,3970,23.2,32.7
2024-01-16T16:00:00.000Z,50,8,117,587,10.0,24.3
2024-01-16T17:00:00.000Z,50,9,231,1888,15.7,6.4
2024-01-16T18:00:00.000Z,50,14,152,932,16.8,14.7
2024-01-16T19:00:00.000Z,50,14,200,1091,17.6,9.2
2024-01-16T20:00:00.000Z,50,13,180,1036,20.9,24.2
2024-01-16T21:00:00.000Z,50,9,128,549,10.0,17.1
2024-01-16T22:00:00.000Z,50,5,166,1179,24.3,7.8
2024-01-16T23:00:00.000Z,115,6,432,3539,38.2,27.2
2024-01-17T00:00:00.000Z,202,3,772,7032,67.9,52.8
2024-01-17T01:00:00.000Z,210,7,542,2816,66.8,66.0
2024-01-17T02:00:00.000Z,258,5,543,4492,63.6,47.4
2024-01-17T03:00:00.000Z,108,6,264,2539,37.6,40.8
2024-01-17T04:00:00.000Z,188,7,427,2399,51.0,58.3
2024-01-17T05:00:00.000Z,167,8,634,3435,58.9,56.3
2024-01-17T06:00:00.000Z,173,7,799,2410,54.9,33.6
2024-01-17T07:00:00.000Z,89,6,209,1216,40.0,29.2
2024-01-17T08:00:00.000Z,145,13,456,3425,30.6,16.7
2024-01-17T09:00:00.000Z,67,3,330,2215,37.1,35.4
2024-01-17T10:00:00.000Z,295,11,836,5551,74.8,52.9
2024-01-17T11:00:00.000Z,302,12,1336,10843,75.1,73.2
2024-01-17T12:00:00.000Z,304,2,654,2559,74.3,74.8
2024-01-17T13:00:00.000Z,334,4,1089,4393,64.3,54.7
2024-01-17T14:00:00.000Z,325,15,843,3539,62.7,56.5
2024-01-17T15:00:00.000Z,129,9,434,1459,33.2,33.3
2024-01-17T16:00:00.000Z,54,6,210,1078,15.0,23.7
2024-01-17T17:00:00.000Z,50,4,139,471,22.6,25.8
2024-01-17T18:00:00.000Z,61,9,176,740,17.1,15.3
2024-01-17T19:00:00.000Z,50,7,229,1093,22.2,22.7
2024-01-17T20:00:00.000Z,50,5,232,1054,13.5,19.9
2024-01-17T21:00:00.000Z,61,6,216,827,21.7,20.2
2024-01-17T22:00:00.000Z,50,12,203,1064,17.8,28.3
2024-01-17T23:00:00.000Z,132,3,308,1733,30.3,25.3
2024-01-18T00:00:00.000Z,230,6,571,1955,57.4,58.9
2024-01-18T01:00:00.000Z,286,2,914,4073,53.1,52.3
2024-01-18T02:00:00.000Z,203,2,784,4019,52.4,43.5
2024-01-18T03:00:00.000Z,96,10,318,2989,28.7,23.7
2024-01-18T04:00:00.000Z,170,10,413,1614,42.3,45.4
2024-01-18T05:00:00.000Z,243,4,845,7145,41.9,41.4
2024-01-18T06:00:00.000Z,153,3,551,2396,57.8,51.4
2024-01-18T07:00:00.000Z,137,13,582,5647,33.8,38.7
2024-01-18T08:00:00.000Z,146,3,557,3676,30.8,31.2
2024-01-18T09:00:00.000Z,92,15,247,1534,34.4,17.6
2024-01-18T10:00:00.000Z,302,10,824,5726,79.5,62.1
2024-01-18T11:00:00.000Z,341,8,1160,9023,79.8,73.3
2024-01-18T12:00:00.000Z,294,3,1230,8152,75.0,54.3
2024-01-18T13:00:00.000Z,266,3,721,5302,72.2,60.7
2024-01-18T14:00:00.000Z,312,8,736,3802,75.4,59.5
2024-01-18T15:00:00.000Z,148,3,709,2406,35.0,32.7
2024-01-18T16:00:00.000Z,50,3,244,1704,22.6,20.0
2024-01-18T17:00:00.000Z,50,3,230,2287,10.0,10.7
2024-01-18T18:00:00.000Z,50,5,229,1640,19.9,24.9
2024-01-18T19:00:00.000Z,50,7,158,976,18.2,14.8
2024-01-18T20:00:00.000Z,50,8,156,1272,17.6,26.2
2024-01-18T21:00:00.000Z,77,15,255,2414,23.3,21.2
2024-01-18T22:00:00.000Z,50,6,182,945,20.2,11.4
2024-01-18T23:00:00.000Z,58,6,244,2418,29.8,30.6
2024-01-19T00:00:00.000Z,204,9,564,2148,55.4,57.0
2024-01-19T01:00:00.000Z,255,2,1186,7425,54.0,49.2
2024-01-19T02:00:00.000Z,210,6,594,5097,52.3,49.9
2024-01-19T03:00:00.000Z,76,13,356,2296,25.1,40.4
2024-01-19T04:00:00.000Z,172,15,536,3871,47.0,44.6
2024-01-19T05:00:00.000Z,246,9,1088,8677,59.3,54.5
2024-01-19T06:00:00.000Z,155,10,430,3388,41.0,53.6
2024-01-19T07:00:00.000Z,88,5,246,2044,37.1,18.9
2024-01-19T08:00:00.000Z,133,14,326,2013,26.4,41.3
2024-01-19T09:00:00.000Z,74,6,264,1067,30.6,31.8
2024-01-19T10:00:00.000Z,343,12,882,5287,70.9,73.3
2024-01-19T11:00:00.000Z,312,2,1245,11637,75.0,58.2
2024-01-19T12:00:00.000Z,293,15,1356,5249,76.8,64.2
2024-01-19T13:00:00.000Z,277,8,1017,10145,76.3,71.3
2024-01-19T14:00:00.000Z,312,10,1244,5587,69.2,63.0
2024-01-19T15:00:00.000Z,54,9,115,977,31.9,41.5
2024-01-19T16:00:00.000Z,50,9,145,982,11.9,15.0
2024-01-19T17:00:00.000Z,84,2,363,1393,10.0,23.3
2024-01-19T18:00:00.000Z,50,8,228,956,26.3,7.2
2024-01-19T19:00:00.000Z,50,3,191,1370,22.4,29.7
2024-01-19T20:00:00.000Z,50,8,234,1524,16.2,24.0
2024-01-19T21:00:00.000Z,59,10,232,2107,10.0,15.8
2024-01-19T22:00:00.000Z,50,13,222,992,22.2,15.0
2024-01-19T23:00:00.000Z,60,4,288,1770,19.2,8.1
2024-01-20T00:00:00.000Z,113,5,473,2599,34.2,30.7
2024-01-20T01:00:00.000Z,132,13,370,3678,31.1,36.1
2024-01-20T02:00:00.000Z,191,15,626,2326,39.9,42.7
2024-01-20T03:00:00.000Z,206,11,580,4324,52.8,37.2
2024-01-20T04:00:00.000Z,227,10,552,5428,51.5,45.1
2024-01-20T05:00:00.000Z,88,14,405,3111,23.9,29.9
2024-01-20T06:00:00.000Z,119,12,509,4878,41.3,46.5
2024-01-20T07:00:00.000Z,183,7,654,4684,32.8,49.5
2024-01-20T08:00:00.000Z,117,6,361,3321,46.1,41.3
2024-01-20T09:00:00.000Z,60,11,174,1220,25.9,33.9
2024-01-20T10:00:00.000Z,78,3,258,1884,33.1,18.9
2024-01-20T11:00:00.000Z,242,7,676,3870,67.1,62.8
2024-01-20T12:00:00.000Z,250,11,1065,6329,51.9,55.7
2024-01-20T13:00:00.000Z,209,4,740,3569,63.2,43.7
2024-01-20T14:00:00.000Z,250,10,1193,10115,61.2,54.8
2024-01-20T15:00:00.000Z,255,3,815,4049,51.8,54.6
2024-01-20T16:00:00.000Z,83,4,400,2013,12.5,27.8
2024-01-20T17:00:00.000Z,80,10,316,2667,10.0,6.7
2024-01-20T18:00:00.000Z,50,2,160,604,21.1,22.2
2024-01-20T19:00:00.000Z,50,7,213,703,24.3,11.5
2024-01-20T20:00:00.000Z,50,12,179,1235,25.1,11.7
2024-01-20T21:00:00.000Z,50,13,105,403,17.8,9.8
2024-01-20T22:00:00.000Z,50,13,163,1468,15.2,10.6
2024-01-20T23:00:00.000Z,50,4,169,687,17.0,17.1
2024-01-21T00:00:00.000Z,65,5,135,559,27.4,38.2
2024-01-21T01:00:00.000Z,126,11,429,2764,38.2,18.5
2024-01-21T02:00:00.000Z,154,8,514,5118,49.1,49.3
2024-01-21T03:00:00.000Z,179,6,630,2119,44.4,47.7
2024-01-21T04:00:00.000Z,158,6,345,1172,51.4,34.7
2024-01-21T05:00:00.000Z,102,8,221,1684,23.8,35.7
2024-01-21T06:00:00.000Z,118,12,467,2017,42.1,39.8
2024-01-21T07:00:00.000Z,165,9,753,7325,41.8,38.7
2024-01-21T08:00:00.000Z,173,14,389,3661,34.4,33.0
2024-01-21T09:00:00.000Z,78,3,323,984,36.9,29.6
2024-01-21T10:00:00.000Z,121,3,407,2867,29.4,16.7
2024-01-21T11:00:00.000Z,231,11,765,6567,56.2,65.2
2024-01-21T12:00:00.000Z,253,10,844,6975,50.7,62.7
2024-01-21T13:00:00.000Z,283,3,1331,9455,60.4,60.8
2024-01-21T14:00:00.000Z,226,6,488,2747,57.1,51.1
2024-01-21T15:00:00.000Z,217,11,844,6245,66.5,55.7
