userId,role,interests,registrationDate,location,activityScore,influenceScore,postCount,interactionCount,followerCount,followingCount,lastActiveDate
user_001,general,"travel,arts and culture,food and dining",2021-09-26,南京,62,42,110,723,2231,104,2023-11-09
user_002,inactive,"entertainment,travel",2023-06-13,沈阳,15,4,4,82,19,11,2023-12-03
user_003,information-source,"travel",2023-10-30,西安,81,90,313,2484,7001,132,2023-11-01
user_004,information-seeker,"science and technology",2022-03-01,宁波,27,21,13,241,744,375,2023-12-02
user_005,inactive,"entertainment,politics",2022-06-23,昆明,8,9,13,72,130,95,2024-01-17
user_006,general,"travel",2021-09-20,北京,42,62,115,1351,1167,166,2023-12-04
user_007,information-source,"food and dining,business and finance,travel",2023-01-01,成都,93,72,454,2574,8298,224,2023-11-17
user_008,inactive,"animals,business and finance",2023-08-21,济南,9,11,7,67,66,60,2023-11-12
user_009,information-source,"entertainment,sports,animals",2021-10-08,南京,74,71,183,2462,4865,163,2023-11-19
user_010,information-source,"travel,science and technology",2023-08-18,福州,78,65,290,4887,2786,167,2023-12-14
user_011,information-seeker,"animals",2023-04-06,深圳,33,29,53,758,926,498,2023-12-22
user_012,inactive,"sports,arts and culture",2023-07-18,北京,10,9,16,11,24,82,2024-01-09
user_013,information-seeker,"politics,learning and educational",2022-07-10,石家庄,38,17,35,474,290,216,2023-11-16
user_014,inactive,"fashion and beauty,animals",2023-04-16,上海,13,14,1,45,112,61,2023-12-02
user_015,information-source,"business and finance,science and technology,learning and educational",2020-10-01,太原,86,92,468,4917,2485,190,2023-12-15
user_016,inactive,"science and technology",2020-10-23,南昌,16,8,19,59,180,89,2024-01-06
user_017,information-source,"travel,animals,learning and educational",2023-10-05,太原,92,77,455,3422,3710,130,2023-11-06
user_018,general,"food and dining",2022-08-25,南昌,52,39,82,811,2441,142,2024-01-09
user_019,information-seeker,"business and finance,fitness and health",2021-03-02,哈尔滨,48,29,69,331,226,425,2024-01-03
user_020,inactive,"travel,learning and educational,food and dining",2023-04-08,厦门,12,11,12,66,49,54,2023-12-12
user_021,inactive,"animals",2021-09-02,济南,8,18,9,98,130,64,2024-01-19
user_022,inactive,"sports",2023-01-24,哈尔滨,24,12,8,98,76,61,2023-11-04
user_023,general,"fitness and health",2023-09-12,沈阳,53,34,140,889,1011,157,2023-11-17
user_024,general,"arts and culture,learning and educational",2023-05-15,沈阳,67,62,148,1221,1005,113,2023-11-04
user_025,inactive,"travel,learning and educational",2021-09-16,宁波,18,8,15,94,126,50,2023-12-24
user_026,information-seeker,"arts and culture,fashion and beauty,entertainment",2021-11-19,佛山,42,32,60,667,666,393,2023-12-27
user_027,inactive,"food and dining,fashion and beauty,science and technology",2021-05-26,武汉,21,17,9,85,164,85,2024-01-11
user_028,general,"fitness and health,fashion and beauty,learning and educational",2020-12-08,上海,40,36,68,1236,1456,162,2024-01-08
user_029,general,"travel",2020-05-03,长沙,71,42,107,1000,2742,160,2023-12-06
user_030,information-source,"fashion and beauty,business and finance",2020-08-05,武汉,81,62,235,4556,3433,58,2023-11-17
user_031,general,"entertainment",2020-08-10,济南,72,59,145,552,2283,203,2023-11-09
user_032,information-source,"food and dining",2023-04-18,武汉,71,83,347,1654,8382,89,2023-11-28
user_033,information-seeker,"entertainment,business and finance",2023-12-16,广州,52,15,73,102,460,472,2024-01-16
user_034,general,"food and dining,entertainment",2021-12-26,西安,42,45,148,1339,1135,283,2023-12-22
user_035,general,"animals,sports,arts and culture",2021-03-14,成都,54,50,92,1052,2886,115,2024-01-12
